start,end,count
0,5,1623
5,10,1422
10,15,1016
15,20,642
20,25,472
25,30,329
30,35,287
35,40,237
40,45,188
45,50,163
50,55,189
55,60,132
60,65,116
65,70,113
70,75,93
75,80,65
80,85,55
85,90,43
90,95,41
95,100,35
100,105,22
105,110,29
110,115,18
115,120,22
120,125,20
125,130,23
130,135,24
135,140,16
140,145,22
145,150,16
150,155,9
155,160,12
160,165,16
165,170,12
170,175,7
175,180,2
180,185,4
190,195,4
195,200,3
200,205,1
205,210,1
210,215,3
220,225,2
225,230,1
230,235,1
245,250,2
295,300,1
