context_time,node_time,embedding_time,diagnose_time,retrieval_time
40.0,27.0,11.0,8.0,10.0
24.0,31.0,3.0,14.0,8.0
52.0,23.0,70.0,15.0,10.0
50.0,32.0,43.0,7.0,6.0
24.0,30.0,24.0,33.0,67.0
57.0,18.0,3.0,17.0,72.0
53.0,25.0,156.0,16.0,8.0
35.0,39.0,10.0,7.0,7.0
26.0,23.0,7.0,16.0,10.0
51.0,36.0,8.0,8.0,9.0
41.0,39.0,14.0,15.0,6.0
39.0,32.0,3.0,12.0,6.0
38.0,26.0,25.0,34.0,83.0
39.0,26.0,10.0,28.0,68.0
47.0,23.0,5.0,18.0,8.0
38.0,25.0,5.0,7.0,8.0
55.0,28.0,7.0,6.0,8.0
48.0,23.0,11.0,14.0,6.0
54.0,20.0,8.0,17.0,7.0
33.0,38.0,109.0,9.0,7.0
43.0,22.0,8.0,16.0,7.0
35.0,34.0,17.0,14.0,7.0
29.0,26.0,9.0,9.0,9.0
27.0,25.0,10.0,17.0,7.0
39.0,26.0,5.0,8.0,7.0
49.0,36.0,4.0,16.0,6.0
27.0,23.0,5.0,8.0,6.0
25.0,30.0,8.0,7.0,8.0
42.0,37.0,7.0,23.0,7.0
35.0,26.0,3.0,15.0,18.0
27.0,30.0,3.0,8.0,17.0
44.0,28.0,3.0,6.0,7.0
58.0,29.0,6.0,13.0,7.0
30.0,20.0,4.0,8.0,6.0
36.0,41.0,5.0,18.0,7.0
29.0,39.0,11.0,15.0,10.0
29.0,24.0,4.0,8.0,10.0
27.0,26.0,3.0,22.0,7.0
56.0,20.0,4.0,11.0,7.0
26.0,27.0,4.0,14.0,19.0
55.0,26.0,4.0,16.0,20.0
25.0,27.0,6.0,14.0,13.0
32.0,31.0,4.0,8.0,15.0
27.0,29.0,18.0,17.0,6.0
32.0,34.0,3.0,8.0,6.0
21.0,25.0,9.0,16.0,10.0
63.0,22.0,4.0,5.0,12.0
26.0,41.0,4.0,16.0,8.0
44.0,45.0,3.0,7.0,6.0
35.0,32.0,9.0,15.0,7.0
32.0,27.0,3.0,14.0,6.0
53.0,24.0,6.0,15.0,7.0
44.0,29.0,5.0,12.0,6.0
46.0,18.0,3.0,14.0,6.0
38.0,25.0,8.0,37.0,6.0
59.0,24.0,6.0,14.0,6.0
46.0,31.0,7.0,22.0,6.0
56.0,35.0,4.0,21.0,8.0
37.0,29.0,27.0,19.0,6.0
30.0,19.0,6.0,14.0,6.0
23.0,23.0,12.0,12.0,6.0
36.0,32.0,5.0,26.0,7.0
43.0,36.0,4.0,19.0,6.0
46.0,51.0,3.0,15.0,7.0
51.0,37.0,10.0,13.0,7.0
44.0,27.0,5.0,12.0,6.0
26.0,19.0,9.0,30.0,7.0
26.0,34.0,8.0,32.0,6.0
44.0,24.0,6.0,30.0,7.0
47.0,38.0,3.0,16.0,6.0
39.0,24.0,4.0,22.0,6.0
35.0,25.0,8.0,34.0,8.0
